wavelength	flux	error
4155.500000	0.984940	0.000000
4156.000000	0.949936	0.000000
4156.500000	0.917257	0.000000
4157.000000	0.925800	0.000000
4157.500000	0.937283	0.000000
4158.000000	0.964745	0.000000
4158.500000	0.981394	0.000000
4159.000000	0.964970	0.000000
4159.500000	0.945333	0.000000
4160.000000	0.919219	0.000000
4160.500000	0.905622	0.000000
4161.000000	0.909720	0.000000
4161.500000	0.924529	0.000000
4162.000000	0.950143	0.000000
4162.500000	0.956027	0.000000
4163.000000	0.947743	0.000000
4163.500000	0.942917	0.000000
4164.000000	0.939866	0.000000
4164.500000	0.944952	0.000000
4165.000000	0.952829	0.000000
4165.500000	0.938137	0.000000
4166.000000	0.918828	0.000000
4166.500000	0.912357	0.000000
4167.000000	0.907178	0.000000
4167.500000	0.927992	0.000000
4168.000000	0.947534	0.000000
4168.500000	0.947731	0.000000
4169.000000	0.948181	0.000000
4169.500000	0.949912	0.000000
4170.000000	0.949142	0.000000
4170.500000	0.940088	0.000000
4171.000000	0.934890	0.000000
4171.500000	0.938168	0.000000
4172.000000	0.931862	0.000000
4172.500000	0.910650	0.000000
4173.000000	0.901793	0.000000
4173.500000	0.906870	0.000000
4174.000000	0.909802	0.000000
4174.500000	0.910963	0.000000
4175.000000	0.909273	0.000000
4175.500000	0.905877	0.000000
4176.000000	0.898749	0.000000
4176.500000	0.890040	0.000000
4177.000000	0.909993	0.000000
4177.500000	0.938039	0.000000
4178.000000	0.945155	0.000000
4178.500000	0.948764	0.000000
4179.000000	0.925532	0.000000
4179.500000	0.900617	0.000000
4180.000000	0.910418	0.000000
4180.500000	0.920548	0.000000
4181.000000	0.934270	0.000000
4181.500000	0.947669	0.000000
4182.000000	0.959317	0.000000
4182.500000	0.960603	0.000000
4183.000000	0.927521	0.000000
4183.500000	0.917671	0.000000
4184.000000	0.960693	0.000000
4184.500000	0.986586	0.000000
4185.000000	0.984352	0.000000
4185.500000	0.956978	0.000000
4186.000000	0.899054	0.000000
4186.500000	0.887385	0.000000
4187.000000	0.917769	0.000000
4187.500000	0.917065	0.000000
4188.000000	0.895264	0.000000
4188.500000	0.915566	0.000000
4189.000000	0.956870	0.000000
4189.500000	0.984827	0.000000
4190.000000	1.008064	0.000000
4190.500000	1.002454	0.000000
4191.000000	0.990029	0.000000
4191.500000	0.949576	0.000000
4192.000000	0.905249	0.000000
4192.500000	0.898830	0.000000
4193.000000	0.894921	0.000000
4193.500000	0.916697	0.000000
4194.000000	0.936425	0.000000
4194.500000	0.934612	0.000000
4195.000000	0.932312	0.000000
4195.500000	0.927387	0.000000
4196.000000	0.926896	0.000000
4196.500000	0.941828	0.000000
4197.000000	0.941604	0.000000
4197.500000	0.904422	0.000000
4198.000000	0.900989	0.000000
4198.500000	0.958125	0.000000
4199.000000	0.970159	0.000000
4199.500000	0.921033	0.000000
4200.000000	0.913734	0.000000
4200.500000	0.949864	0.000000
4201.000000	0.968376	0.000000
4201.500000	0.972838	0.000000
4202.000000	0.972005	0.000000
4202.500000	0.967948	0.000000
4203.000000	0.942373	0.000000
4203.500000	0.906961	0.000000
4204.000000	0.909387	0.000000
4204.500000	0.924368	0.000000
4205.000000	0.937969	0.000000
4205.500000	0.951260	0.000000
4206.000000	0.954210	0.000000
4206.500000	0.955726	0.000000
